tal.,Tal.,Globe_Shakespeare/1h6.xml,
gar.,Gar.,Globe_Shakespeare/1h6.xml,
glan.,Glan.,Globe_Shakespeare/1h6.xml,
serg.,Serg.,Globe_Shakespeare/1h6.xml,
first-sent.,First Sent.,Globe_Shakespeare/1h6.xml,
bur.,Bur.,Globe_Shakespeare/1h6.xml,
sent.,Sent.,Globe_Shakespeare/1h6.xml,
sold.,Sold.,Globe_Shakespeare/1h6.xml,
cap.,Cap.,Globe_Shakespeare/1h6.xml,
count.,Count.,Globe_Shakespeare/1h6.xml,
port.,Port.,Globe_Shakespeare/1h6.xml,
plan.,Plan.,Globe_Shakespeare/1h6.xml,
suf.,Suf.,Globe_Shakespeare/1h6.xml,
som.,Som.,Globe_Shakespeare/1h6.xml,
war.,War.,Globe_Shakespeare/1h6.xml,
ver.,Ver.,Globe_Shakespeare/1h6.xml,
law.,Law.,Globe_Shakespeare/1h6.xml,
mor.,Mor.,Globe_Shakespeare/1h6.xml,
first-gaol.,First Gaol.,Globe_Shakespeare/1h6.xml,
king.,King.,Globe_Shakespeare/1h6.xml,MALE
sec.-serv.,Sec. Serv.,Globe_Shakespeare/1h6.xml,
third-serv.,Third Serv.,Globe_Shakespeare/1h6.xml,
all.,All.,Globe_Shakespeare/1h6.xml,
first-sol.,First Sol.,Globe_Shakespeare/1h6.xml,
watch.,Watch.,Globe_Shakespeare/1h6.xml,
fast.,Fast.,Globe_Shakespeare/1h6.xml,
bas.,Bas.,Globe_Shakespeare/1h6.xml,
york.,York.,Globe_Shakespeare/1h6.xml,
gen.,Gen.,Globe_Shakespeare/1h6.xml,
lucy.,Lucy.,Globe_Shakespeare/1h6.xml,
john.,John.,Globe_Shakespeare/1h6.xml,
leg.,Leg.,Globe_Shakespeare/1h6.xml,
scout.,Scout.,Globe_Shakespeare/1h6.xml,
mar.,Mar.,Globe_Shakespeare/1h6.xml,
shep.,Shep.,Globe_Shakespeare/1h6.xml,
car.,Car.,Globe_Shakespeare/1h6.xml,
s-2h4-44,Rum.,Globe_Shakespeare/2h4.xml,
s-2h4-4,L. Bard.,Globe_Shakespeare/2h4.xml,
s-2h4-2,Port.,Globe_Shakespeare/2h4.xml,
s-2h4-6,North.,Globe_Shakespeare/2h4.xml,
s-2h4-7,Tra.,Globe_Shakespeare/2h4.xml,
s-2h4-5,Mor.,Globe_Shakespeare/2h4.xml,
